date,min,max,median,q1,q3,stdev,count
2022-09-19T00:00:00.000Z,0.1,6.63,0.4,0.3,0.55,0.379,502
2022-09-20T00:00:00.000Z,0.2,9.43,0.68,0.4,1.2,0.931,421
2022-09-21T00:00:00.000Z,0.1,5.03,0.99,0.38,2.04,1.139,480
2022-09-22T00:00:00.000Z,0.25,51.63,1.25,0.65,1.7,4.131,512
2022-09-23T00:00:00.000Z,0.4,22.33,1.4,0.9,3.83,2.206,515
2022-09-24T00:00:00.000Z,0.56,15.52,2.9,1.32,4.4,2.389,520
2022-09-25T00:00:00.000Z,0.6,47.65,3.62,2.1,4.96,3.049,500
2022-09-26T00:00:00.000Z,1,13.95,3.9,2.97,5.15,1.717,468
2022-09-27T00:00:00.000Z,0.9,11.95,7.57,1.8,8.94,3.688,497
2022-09-28T00:00:00.000Z,0.5,11.45,2.08,1.3,2.84,2.206,497
2022-09-29T00:00:00.000Z,0.5,5.6,1.65,1.1,2.17,1.09,486
2022-09-30T00:00:00.000Z,0.8,10.15,1.85,1.4,3.28,1.767,486
2022-10-01T00:00:00.000Z,0.85,25.7,5.15,3.03,7.35,4.828,445
2022-10-02T00:00:00.000Z,1.65,51.83,16.3,9.68,23.23,9.646,277
2022-10-03T00:00:00.000Z,1.7,46.3,9.05,7.36,15.39,9.14,276
2022-10-04T00:00:00.000Z,0.47,11.98,1.2,1,1.67,0.844,321
2022-10-05T00:00:00.000Z,0.8,61.92,1.92,1.3,2.92,5.681,320
2022-10-06T00:00:00.000Z,0.4,5.2,1.5,1,2.6,1.205,524
2022-10-07T00:00:00.000Z,1.33,13.48,2.78,2.1,3.9,1.115,517
2022-10-08T00:00:00.000Z,0.6,5,1.5,1.23,2,0.707,533
2022-10-09T00:00:00.000Z,0.1,4.97,0.6,0.4,0.77,0.444,499
2022-10-10T00:00:00.000Z,0.82,5.47,1.8,1.48,3.53,1.142,428
2022-10-11T00:00:00.000Z,0.1,5.68,0.95,0.43,1.95,1.533,521
2022-10-12T00:00:00.000Z,0.1,71.59,1.08,0.5,1.74,5.73,533
